Id,NA_Sales,Platform,Year_of_Release,Genre,Publisher,JP_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,0.0,PSP,2008.0,Misc,Sony Computer Entertainment,0.06,81.0,49.0,8.3,62.0,SCE Japan Studio,E
1,0.72,2600,1982.0,Shooter,Atari,0.0,,,,,,
2,0.11,XB,2004.0,Action,THQ,0.0,,,,,,
3,0.15,X360,2008.0,Fighting,Electronic Arts,0.0,54.0,57.0,6.3,19.0,EA Canada,T
4,0.0,DS,2006.0,Action,Namco Bandai Games,0.01,,,,,,
5,0.0,PS2,2008.0,Racing,Activision,0.0,,,,,,
6,0.03,Wii,2010.0,Racing,Nordic Games,0.0,,,tbd,,Nordic Games Publishing,E
7,0.1,DS,2005.0,Simulation,Atari,1.12,59.0,20.0,7.7,6.0,NanaOn-Sha,E
8,0.18,Wii,2010.0,Misc,Disney Interactive Studios,0.0,,,tbd,,Disney Interactive Studios,E
9,0.1,PS3,2008.0,Sports,Electronic Arts,0.0,45.0,24.0,tbd,,EA Tiburon,E
10,0.02,XB,2005.0,Shooter,Kemco,0.0,33.0,9.0,2.8,4.0,Touchdown Entertainment,M
11,0.0,3DS,2012.0,Action,Namco Bandai Games,0.02,,,,,,
12,0.21,PS2,2003.0,Role-Playing,Sony Online Entertainment,0.0,74.0,22.0,8.2,33.0,Sony Online Entertainment,T
13,0.51,DS,2007.0,Simulation,Ubisoft,0.0,,,9,4.0,Powerhead Games,E
14,0.16,PS,1996.0,Racing,Sony Computer Entertainment,0.83,,,,,,
15,0.0,XOne,2015.0,Sports,Ubisoft,0.0,,,4.3,7.0,HB Studios Multimedia,E
16,0.16,PSP,2008.0,Sports,Activision,0.0,,,tbd,,FUN Labs,T
17,0.0,SNES,1993.0,Platform,Namco Bandai Games,0.46,,,,,,
18,0.0,PS,1995.0,Misc,Sony Computer Entertainment,0.1,,,,,,
19,0.31,PS2,2003.0,Platform,Activision,0.0,58.0,24.0,7.2,13.0,GenePool,T
20,0.23,PS2,2006.0,Sports,Midway Games,0.0,69.0,19.0,8.5,8.0,Midway,E
21,0.0,DS,2008.0,Strategy,Tecmo Koei,0.03,,,,,,
22,0.31,WiiU,2013.0,Misc,Ubisoft,0.0,72.0,13.0,7.6,45.0,Ubisoft,E10+
23,0.07,PS,1999.0,Racing,SquareSoft,0.3,,,,,,
24,0.0,SNES,1996.0,Role-Playing,Enix Corporation,0.04,,,,,,
25,0.33,GBA,2005.0,Platform,Disney Interactive Studios,0.0,76.0,6.0,7.7,6.0,Artificial Mind and Movement,E
26,0.0,PSP,2011.0,Misc,Konami Digital Entertainment,0.06,,,,,,
27,0.24,PSP,2009.0,Action,THQ,0.0,,,tbd,,Asobo Studio,E
28,0.0,PS3,2010.0,Sports,Konami Digital Entertainment,0.21,,,,,,
29,0.14,PS2,2006.0,Role-Playing,505 Games,0.0,71.0,26.0,7.5,22.0,Media Vision,T
30,0.09,PS2,2005.0,Racing,Zoo Digital Publishing,0.0,,,8.1,9.0,Creat Studios,T
31,0.0,PS4,2016.0,Role-Playing,Nihon Falcom Corporation,0.03,,,,,,
32,0.01,Wii,2006.0,Puzzle,System 3 Arcade Software,0.0,,,,,System 3,E
33,0.14,X360,2011.0,Misc,Take-Two Interactive,0.0,,,,,,
34,0.2,DS,2009.0,Action,Electronic Arts,0.0,48.0,9.0,4.3,7.0,EA Bright Light,E
35,0.0,DS,2009.0,Adventure,D3Publisher,0.01,,,,,,
36,0.81,PS4,2016.0,Shooter,Activision,0.15,90.0,31.0,6.1,1358.0,Blizzard Entertainment,T
37,0.09,PS3,2008.0,Action,Namco Bandai Games,0.32,54.0,22.0,7,28.0,Omega Force,T
38,0.03,PS,2001.0,Shooter,Namco Bandai Games,0.0,71.0,13.0,6.7,6.0,Flying Tiger Development,T
39,1.1,PS,1999.0,Action,3DO,0.0,,,,,,
40,0.0,PC,2007.0,Racing,Atari,0.0,79.0,18.0,8.1,124.0,Eden Studios,T
41,0.41,PS4,2015.0,Sports,Take-Two Interactive,0.0,73.0,47.0,7.4,237.0,Yuke's,T
42,0.01,PS2,2007.0,Strategy,Tecmo Koei,0.03,79.0,39.0,7.9,17.0,Vanilla Ware,E10+
43,0.13,Wii,2007.0,Misc,Ubisoft,0.0,64.0,9.0,5.4,13.0,Ubisoft Quebec,E
44,1.41,PS3,2011.0,Action,Ubisoft,0.1,80.0,39.0,7.5,613.0,Ubisoft Montreal,M
45,0.11,PS2,2001.0,Sports,Acclaim Entertainment,0.0,67.0,12.0,7.8,6.0,Acclaim,E
46,0.24,Wii,2009.0,Misc,Take-Two Interactive,0.0,,,tbd,,Take-Two Interactive,E
47,0.06,PSP,2007.0,Misc,Hudson Entertainment,0.0,55.0,14.0,7.8,4.0,Racjin,E
48,0.04,X360,2010.0,Role-Playing,JoWood Productions,0.01,64.0,21.0,5.2,52.0,Spellbound,T
